cidr,sblid,rir,type,timestamp,size,records,copyright,terms
111.223.244.0/24,SBL693465,apnic,,,,,,
112.90.143.0/24,SBL655491,apnic,,,,,,
112.142.160.0/22,SBL677716,apnic,,,,,,
112.143.0.0/19,SBL675595,apnic,,,,,,
112.213.96.0/19,SBL668365,apnic,,,,,,
113.212.128.0/19,SBL78429,apnic,,,,,,
114.134.28.0/22,SBL395345,apnic,,,,,,
114.231.216.0/22,SBL641058,apnic,,,,,,
114.239.188.0/24,SBL641951,apnic,,,,,,
115.144.69.0/24,SBL506125,apnic,,,,,,
115.167.3.0/24,SBL683018,apnic,,,,,,
115.167.9.0/24,SBL683142,apnic,,,,,,
115.167.64.0/24,SBL686921,apnic,,,,,,
115.167.103.0/24,SBL691554,apnic,,,,,,
117.18.0.0/24,SBL628723,apnic,,,,,,
117.60.11.0/24,SBL641284,apnic,,,,,,
117.120.136.0/22,SBL689687,apnic,,,,,,
118.107.16.0/20,SBL657508,apnic,,,,,,
119.13.179.0/24,SBL652308,apnic,,,,,,
119.27.192.0/18,SBL675596,apnic,,,,,,
119.58.0.0/16,SBL286278,apnic,,,,,,
119.82.12.0/22,SBL419661,apnic,,,,,,
119.161.184.0/21,SBL681778,apnic,,,,,,
119.227.224.0/19,SBL237235,apnic,,,,,,
119.232.0.0/16,SBL230571,apnic,,,,,,
120.30.0.0/16,SBL687345,apnic,,,,,,
120.30.64.0/18,SBL677408,apnic,,,,,,
120.64.0.0/16,SBL253581,apnic,,,,,,
120.67.0.0/16,SBL247795,apnic,,,,,,
120.128.128.0/17,SBL266080,apnic,,,,,,
120.128.192.0/18,SBL253828,apnic,,,,,,
120.129.0.0/17,SBL251953,apnic,,,,,,
120.129.128.0/17,SBL251954,apnic,,,,,,
120.130.0.0/16,SBL253827,apnic,,,,,,
120.130.128.0/18,SBL253829,apnic,,,,,,
120.233.59.0/24,SBL656001,apnic,,,,,,
121.14.35.0/24,SBL655995,apnic,,,,,,
121.127.233.0/24,SBL673941,apnic,,,,,,
121.234.236.0/24,SBL641953,apnic,,,,,,
122.10.112.0/21,SBL675897,apnic,,,,,,
122.129.0.0/18,SBL221386,apnic,,,,,,
123.108.108.0/22,SBL675892,apnic,,,,,,
123.136.80.0/20,SBL620843,apnic,,,,,,
123.242.0.0/17,SBL675597,apnic,,,,,,
123.253.108.0/24,SBL690837,apnic,,,,,,
123.253.109.0/24,SBL690838,apnic,,,,,,
123.253.204.0/22,SBL664306,apnic,,,,,,
123.254.104.0/21,SBL692279,apnic,,,,,,
124.20.0.0/16,SBL677421,apnic,,,,,,
124.21.0.0/16,SBL677712,apnic,,,,,,
124.68.0.0/16,SBL211387,apnic,,,,,,
124.147.128.0/17,SBL675598,apnic,,,,,,
124.157.0.0/18,SBL221387,apnic,,,,,,
124.198.131.0/24,SBL687513,ripencc,,,,,,
124.198.132.0/24,SBL687514,ripencc,,,,,,
124.242.0.0/16,SBL262407,apnic,,,,,,
125.31.192.0/18,SBL233458,apnic,,,,,,
125.58.0.0/18,SBL221388,apnic,,,,,,
129.56.0.0/16,SBL679048,afrinic,,,,,,
130.12.180.0/22,SBL690641,arin,,,,,,
130.148.0.0/16,SBL257919,ripencc,,,,,,
130.196.0.0/16,SBL257914,arin,,,,,,
130.222.0.0/16,SBL101196,arin,,,,,,
131.0.152.0/22,SBL687344,lacnic,,,,,,
131.108.16.0/22,SBL276764,lacnic,,,,,,
134.18.0.0/16,SBL221372,apnic,,,,,,
134.122.128.0/17,SBL657510,apnic,,,,,,
134.122.168.0/24,SBL630283,apnic,,,,,,
134.122.188.0/24,SBL629132,apnic,,,,,,
134.122.189.0/24,SBL637586,apnic,,,,,,
134.195.104.0/22,SBL690983,arin,,,,,,
136.230.0.0/16,SBL211522,ripencc,,,,,,
137.42.0.0/16,SBL624889,arin,,,,,,
137.59.60.0/22,SBL635219,ripencc,,,,,,
137.72.0.0/16,SBL101329,arin,,,,,,
137.105.0.0/16,SBL268209,ripencc,,,,,,
137.218.0.0/16,SBL278657,ripencc,,,,,,
137.220.128.0/17,SBL669374,apnic,,,,,,
138.36.92.0/22,SBL249351,lacnic,,,,,,
138.36.136.0/22,SBL296343,lacnic,,,,,,
138.59.4.0/22,SBL291137,lacnic,,,,,,
138.59.204.0/22,SBL286073,lacnic,,,,,,
138.94.216.0/22,SBL276765,lacnic,,,,,,
138.97.156.0/22,SBL286076,lacnic,,,,,,
138.99.36.0/22,SBL261673,lacnic,,,,,,
138.125.0.0/16,SBL312494,arin,,,,,,
138.185.116.0/22,SBL492823,lacnic,,,,,,
138.219.172.0/22,SBL286074,lacnic,,,,,,
138.226.236.0/23,SBL693164,ripencc,,,,,,
138.226.238.0/24,SBL689234,ripencc,,,,,,
138.249.24.0/22,SBL690068,ripencc,,,,,,
138.249.32.0/22,SBL690069,ripencc,,,,,,
138.249.40.0/22,SBL690070,ripencc,,,,,,
139.183.192.0/18,SBL675599,apnic,,,,,,
139.190.234.0/24,SBL686920,apnic,,,,,,
140.82.64.0/19,SBL502921,arin,,,,,,
140.82.96.0/20,SBL502920,arin,,,,,,
141.98.9.0/24,SBL692929,ripencc,,,,,,
141.98.10.0/24,SBL619633,ripencc,,,,,,
141.98.11.0/24,SBL620221,ripencc,,,,,,
141.178.0.0/16,SBL268203,apnic,,,,,,
141.206.128.0/20,SBL502911,arin,,,,,,
142.102.0.0/16,SBL307428,arin,,,,,,
143.92.32.0/20,SBL654967,apnic,,,,,,
143.92.43.0/24,SBL612606,apnic,,,,,,
143.92.48.0/20,SBL664725,apnic,,,,,,
143.222.0.0/16,SBL691991,arin,,,,,,
144.48.4.0/24,SBL690839,apnic,,,,,,
144.208.127.0/24,SBL692932,arin,,,,,,
144.215.0.0/16,SBL641808,arin,,,,,,
145.231.0.0/16,SBL268204,ripencc,,,,,,
146.3.0.0/16,SBL220725,ripencc,,,,,,
146.19.5.0/24,SBL626016,ripencc,,,,,,
146.47.0.0/16,SBL642235,arin,,,,,,
146.51.0.0/16,SBL458201,apnic,,,,,,
146.106.0.0/16,SBL385377,ripencc,,,,,,
146.185.222.0/24,SBL634453,ripencc,,,,,,
146.252.0.0/16,SBL418513,arin,,,,,,
147.7.0.0/16,SBL268216,ripencc,,,,,,
147.16.0.0/14,SBL302620,arin,,,,,,
147.45.47.0/24,SBL647085,ripencc,,,,,,
147.45.124.0/23,SBL654216,ripencc,,,,,,
147.45.222.0/24,SBL681532,ripencc,,,,,,
147.78.224.0/22,SBL463008,ripencc,,,,,,
147.119.0.0/16,SBL267344,ripencc,,,,,,
147.185.221.0/24,SBL682995,arin,,,,,,
148.148.0.0/16,SBL312498,ripencc,,,,,,
148.178.0.0/16,SBL79700,arin,,,,,,
148.185.0.0/16,SBL272522,ripencc,,,,,,
148.248.0.0/16,SBL84763,lacnic,,,,,,
149.6.125.0/24,SBL679692,arin,,,,,,
149.13.187.0/24,SBL679525,arin,,,,,,
149.57.11.0/24,SBL671785,arin,,,,,,
149.57.16.0/24,SBL671786,arin,,,,,,
150.10.0.0/16,SBL222568,apnic,,,,,,
150.22.128.0/17,SBL235649,apnic,,,,,,
150.25.0.0/16,SBL268451,apnic,,,,,,
150.40.96.0/19,SBL648313,ripencc,,,,,,
150.129.212.0/22,SBL277063,apnic,,,,,,
150.242.120.0/22,SBL277066,apnic,,,,,,
151.131.0.0/16,SBL691992,arin,,,,,,
151.212.0.0/16,SBL229160,ripencc,,,,,,
152.109.0.0/16,SBL307830,afrinic,,,,,,
153.14.0.0/16,SBL220726,arin,,,,,,
153.93.0.0/16,SBL268208,ripencc,,,,,,
154.43.61.0/24,SBL679695,arin,,,,,,
154.85.48.0/21,SBL639393,afrinic,,,,,,
154.209.190.0/24,SBL637315,afrinic,,,,,,
154.211.12.0/24,SBL636079,afrinic,,,,,,
154.213.160.0/21,SBL692223,afrinic,,,,,,
154.216.188.0/24,SBL655979,afrinic,,,,,,
155.66.0.0/16,SBL267343,ripencc,,,,,,
155.71.0.0/16,SBL410855,apnic,,,,,,
155.73.0.0/16,SBL257918,ripencc,,,,,,
155.94.203.0/24,SBL681005,arin,,,,,,
155.108.0.0/16,SBL257917,arin,,,,,,
155.159.0.0/16,SBL457565,afrinic,,,,,,
155.212.156.0/24,SBL689655,ripencc,,,,,,
155.212.238.0/24,SBL693135,ripencc,,,,,,
155.233.0.0/16,SBL530025,afrinic,,,,,,
155.249.0.0/16,SBL257915,ripencc,,,,,,
156.96.0.0/16,SBL461359,arin,,,,,,
156.226.209.0/24,SBL690829,afrinic,,,,,,
157.20.182.0/23,SBL655831,apnic,,,,,,
157.115.0.0/16,SBL268212,apnic,,,,,,
157.119.64.0/22,SBL395347,apnic,,,,,,
157.148.116.0/24,SBL656014,apnic,,,,,,
157.162.0.0/16,SBL220085,ripencc,,,,,,
157.186.0.0/16,SBL186753,ripencc,,,,,,
158.94.208.0/22,SBL686264,ripencc,,,,,,
158.173.51.0/24,SBL692244,ripencc,,,,,,
158.249.0.0/16,SBL307429,ripencc,,,,,,
159.34.0.0/16,SBL688232,ripencc,,,,,,
159.80.0.0/16,SBL307427,apnic,,,,,,
159.219.0.0/16,SBL254875,ripencc,,,,,,
159.253.120.0/24,SBL638389,ripencc,,,,,,
160.14.0.0/16,SBL249299,apnic,,,,,,
160.21.0.0/16,SBL267366,apnic,,,,,,
160.65.0.0/16,SBL693360,arin,,,,,,
160.104.0.0/16,SBL688302,ripencc,,,,,,
160.116.0.0/16,SBL458209,afrinic,,,,,,
160.117.0.0/16,SBL316955,afrinic,,,,,,
160.121.0.0/16,SBL458199,afrinic,,,,,,
160.122.0.0/16,SBL457567,afrinic,,,,,,
160.180.0.0/16,SBL272081,ripencc,,,,,,
160.188.0.0/16,SBL331922,apnic,,,,,,
160.240.0.0/16,SBL253946,apnic,,,,,,
161.0.0.0/19,SBL233406,lacnic,,,,,,
161.0.68.0/22,SBL291136,lacnic,,,,,,
161.1.0.0/16,SBL390711,arin,,,,,,
161.60.0.0/16,SBL635104,arin,,,,,,
161.248.178.0/23,SBL687556,apnic,,,,,,
162.71.0.0/19,SBL642393,arin,,,,,,
162.208.124.0/22,SBL264554,arin,,,,,,
162.249.20.0/22,SBL325380,arin,,,,,,
163.47.19.0/24,SBL209997,apnic,,,,,,
163.50.0.0/16,SBL247800,apnic,,,,,,
163.198.0.0/16,SBL458207,afrinic,,,,,,
163.250.0.0/16,SBL287443,lacnic,,,,,,
163.254.0.0/16,SBL242814,arin,,,,,,
164.6.0.0/16,SBL268270,ripencc,,,,,,
164.79.0.0/16,SBL287439,arin,,,,,,
164.88.0.0/16,SBL458132,afrinic,,,,,,
164.155.0.0/16,SBL457563,afrinic,,,,,,
164.215.103.0/24,SBL634681,ripencc,,,,,,
165.3.0.0/16,SBL457564,afrinic,,,,,,
165.102.0.0/16,SBL229889,apnic,,,,,,
165.154.192.0/18,SBL636305,apnic,,,,,,
165.154.252.0/24,SBL652278,apnic,,,,,,
167.74.0.0/18,SBL178647,arin,,,,,,
167.158.0.0/16,SBL325621,arin,,,,,,
167.224.48.0/21,SBL502895,arin,,,,,,
167.249.200.0/22,SBL286077,lacnic,,,,,,
168.0.212.0/22,SBL286078,lacnic,,,,,,
168.64.0.0/16,SBL287441,arin,,,,,,
168.76.0.0/16,SBL496060,afrinic,,,,,,
168.80.0.0/15,SBL458208,afrinic,,,,,,
168.151.4.0/23,SBL430375,arin,,,,,,
168.151.21.0/24,SBL536567,ripencc,,,,,,
168.151.32.0/21,SBL477397,arin,,,,,,
168.151.44.0/22,SBL477399,arin,,,,,,
168.151.48.0/22,SBL477401,arin,,,,,,
168.151.52.0/23,SBL477400,arin,,,,,,
168.151.54.0/24,SBL477398,arin,,,,,,
168.151.56.0/21,SBL477405,arin,,,,,,
168.151.64.0/22,SBL477404,arin,,,,,,
168.151.68.0/23,SBL477403,arin,,,,,,
168.151.72.0/21,SBL477406,arin,,,,,,
168.151.80.0/20,SBL477408,arin,,,,,,
168.151.96.0/19,SBL477409,arin,,,,,,
168.151.128.0/20,SBL477407,arin,,,,,,
168.151.145.0/24,SBL477412,arin,,,,,,
168.151.146.0/23,SBL477413,arin,,,,,,
168.151.148.0/22,SBL477410,arin,,,,,,
168.151.152.0/22,SBL477411,arin,,,,,,
168.151.157.0/24,SBL477416,arin,,,,,,
168.151.158.0/23,SBL477415,arin,,,,,,
168.151.160.0/20,SBL477417,arin,,,,,,
168.151.176.0/21,SBL477418,arin,,,,,,
168.151.184.0/22,SBL477414,arin,,,,,,
168.151.192.0/20,SBL477388,arin,,,,,,
168.151.208.0/21,SBL477389,arin,,,,,,
168.151.216.0/22,SBL477390,arin,,,,,,
168.151.220.0/23,SBL477391,arin,,,,,,
168.151.224.0/22,SBL536565,arin,,,,,,
168.151.228.0/23,SBL536566,arin,,,,,,
168.151.232.0/21,SBL477392,arin,,,,,,
168.151.240.0/21,SBL477395,arin,,,,,,
168.151.248.0/22,SBL477393,arin,,,,,,
168.151.252.0/23,SBL536575,arin,,,,,,
168.151.254.0/24,SBL477394,arin,,,,,,
168.181.52.0/22,SBL291135,lacnic,,,,,,
168.195.76.0/22,SBL379851,lacnic,,,,,,
168.196.236.0/22,SBL405273,lacnic,,,,,,
168.196.240.0/22,SBL424251,lacnic,,,,,,
168.198.0.0/16,SBL458174,apnic,,,,,,
168.206.0.0/16,SBL458172,afrinic,,,,,,
168.227.140.0/22,SBL396809,lacnic,,,,,,
169.129.0.0/16,SBL530031,afrinic,,,,,,
169.136.224.0/19,SBL530361,arin,,,,,,
169.239.152.0/22,SBL463216,afrinic,,,,,,
169.245.0.0/16,SBL533789,arin,,,,,,
169.246.0.0/15,SBL533788,arin,,,,,,
169.248.0.0/14,SBL533787,arin,,,,,,
170.67.0.0/16,SBL8148,arin,,,,,,
170.83.232.0/22,SBL396810,lacnic,,,,,,
170.113.0.0/16,SBL102573,arin,,,,,,
170.130.43.0/24,SBL690003,arin,,,,,,
170.179.0.0/16,SBL221379,apnic,,,,,,
170.244.240.0/22,SBL424249,lacnic,,,,,,
170.247.220.0/22,SBL379853,lacnic,,,,,,
171.26.0.0/16,SBL268364,ripencc,,,,,,
172.94.9.0/24,SBL692903,arin,,,,,,
172.94.96.0/24,SBL687574,arin,,,,,,
172.94.99.0/24,SBL687575,arin,,,,,,
172.111.128.0/17,SBL688605,arin,,,,,,
172.247.38.0/24,SBL608973,arin,,,,,,
173.44.0.0/19,SBL682084,arin,,,,,,
175.103.64.0/18,SBL221380,apnic,,,,,,
176.46.138.0/24,SBL686256,ripencc,,,,,,
176.46.141.0/24,SBL688231,ripencc,,,,,,
176.65.132.0/24,SBL686258,ripencc,,,,,,
176.65.134.0/24,SBL689704,ripencc,,,,,,
176.65.138.0/24,SBL675607,ripencc,,,,,,
176.65.139.0/24,SBL692426,ripencc,,,,,,
176.65.148.0/22,SBL679272,ripencc,,,,,,
176.65.149.0/24,SBL676058,ripencc,,,,,,
176.98.187.0/24,SBL689997,ripencc,,,,,,
176.113.115.0/24,SBL618086,ripencc,,,,,,
176.114.71.0/24,SBL689657,ripencc,,,,,,
176.117.107.0/24,SBL682623,ripencc,,,,,,
176.120.22.0/24,SBL692137,ripencc,,,,,,
176.126.192.0/23,SBL493684,ripencc,,,,,,
176.126.194.0/24,SBL493685,ripencc,,,,,,
176.223.116.0/23,SBL493686,ripencc,,,,,,
176.223.118.0/24,SBL493687,ripencc,,,,,,
177.234.136.0/21,SBL291134,lacnic,,,,,,
178.16.52.0/22,SBL683901,ripencc,,,,,,
178.22.24.0/24,SBL683021,ripencc,,,,,,
178.72.138.0/24,SBL689653,ripencc,,,,,,
179.43.175.0/24,SBL628730,lacnic,,,,,,
180.178.192.0/18,SBL240529,apnic,,,,,,
180.235.124.0/22,SBL304782,apnic,,,,,,
181.177.64.0/18,SBL214239,lacnic,,,,,,
181.232.172.0/23,SBL691431,lacnic,,,,,,
185.7.214.0/24,SBL638393,ripencc,,,,,,
185.7.215.0/24,SBL618817,ripencc,,,,,,
185.11.61.0/24,SBL690074,ripencc,,,,,,
185.14.192.0/24,SBL394686,ripencc,,,,,,
185.30.168.0/22,SBL448551,ripencc,,,,,,
185.36.80.0/24,SBL619176,ripencc,,,,,,
185.36.81.0/24,SBL641912,ripencc,,,,,,
185.36.82.0/23,SBL619177,ripencc,,,,,,
185.37.195.0/24,SBL682242,ripencc,,,,,,
185.42.164.0/24,SBL679454,ripencc,,,,,,
185.42.165.0/24,SBL682555,ripencc,,,,,,
185.46.84.0/22,SBL524131,ripencc,,,,,,
185.56.83.0/24,SBL594400,ripencc,,,,,,
185.64.23.0/24,SBL492825,ripencc,,,,,,
185.68.152.0/22,SBL687109,ripencc,,,,,,
185.77.248.0/24,SBL476631,ripencc,,,,,,
185.81.68.0/24,SBL690075,ripencc,,,,,,
185.93.89.0/24,SBL678921,ripencc,,,,,,
185.110.0.0/22,SBL461185,ripencc,,,,,,
185.116.172.0/23,SBL310726,ripencc,,,,,,
185.116.175.0/24,SBL310727,ripencc,,,,,,
185.120.8.0/22,SBL493891,ripencc,,,,,,
185.122.128.0/22,SBL310728,ripencc,,,,,,
185.127.44.0/22,SBL461184,ripencc,,,,,,
185.127.56.0/22,SBL310729,ripencc,,,,,,
185.127.68.0/22,SBL300243,ripencc,,,,,,
185.127.76.0/22,SBL300242,ripencc,,,,,,
185.129.8.0/22,SBL310730,ripencc,,,,,,
185.129.208.0/22,SBL448437,ripencc,,,,,,
185.130.36.0/22,SBL310731,ripencc,,,,,,
185.132.8.0/22,SBL461193,ripencc,,,,,,
185.132.53.0/24,SBL692133,ripencc,,,,,,
185.134.48.0/22,SBL300238,ripencc,,,,,,
185.137.98.0/24,SBL627582,ripencc,,,,,,
185.144.180.0/22,SBL463001,ripencc,,,,,,
185.148.242.0/23,SBL688519,ripencc,,,,,,
185.156.73.0/24,SBL686330,ripencc,,,,,,
185.161.148.0/22,SBL463010,ripencc,,,,,,
185.169.4.0/24,SBL642216,ripencc,,,,,,
185.189.73.0/24,SBL618811,ripencc,,,,,,
185.192.36.0/22,SBL412029,ripencc,,,,,,
185.196.8.0/23,SBL640354,ripencc,,,,,,
185.196.8.0/22,SBL640645,ripencc,,,,,,
185.196.10.0/24,SBL640464,ripencc,,,,,,
185.208.156.0/22,SBL640646,ripencc,,,,,,
185.212.240.0/22,SBL635928,ripencc,,,,,,
185.215.132.0/22,SBL448554,ripencc,,,,,,
185.215.247.0/24,SBL680980,ripencc,,,,,,
185.230.14.0/24,SBL681783,ripencc,,,,,,
185.232.45.0/24,SBL618810,ripencc,,,,,,
185.237.104.0/24,SBL675590,ripencc,,,,,,
185.238.176.0/22,SBL463012,ripencc,,,,,,
185.239.44.0/22,SBL641968,ripencc,,,,,,
185.241.208.0/24,SBL683002,ripencc,,,,,,
185.242.3.0/24,SBL692424,ripencc,,,,,,
185.242.246.0/24,SBL678259,ripencc,,,,,,
185.243.40.0/24,SBL690840,ripencc,,,,,,
185.243.41.0/24,SBL690841,ripencc,,,,,,
185.243.42.0/24,SBL690842,ripencc,,,,,,
185.244.249.0/24,SBL619773,ripencc,,,,,,
185.255.192.0/22,SBL424022,ripencc,,,,,,
186.65.112.0/20,SBL264087,lacnic,,,,,,
186.179.0.0/18,SBL264520,lacnic,,,,,,
187.19.64.0/20,SBL544023,lacnic,,,,,,
187.60.0.0/20,SBL544019,lacnic,,,,,,
188.172.160.0/20,SBL308891,ripencc,,,,,,
188.190.10.0/24,SBL657026,ripencc,,,,,,
188.208.48.0/22,SBL461202,ripencc,,,,,,
188.208.52.0/22,SBL493690,ripencc,,,,,,
188.208.109.0/24,SBL461210,ripencc,,,,,,
188.213.23.0/24,SBL493895,ripencc,,,,,,
188.213.206.0/23,SBL493695,ripencc,,,,,,
188.213.214.0/23,SBL493696,ripencc,,,,,,
188.213.248.0/22,SBL461203,ripencc,,,,,,
188.213.252.0/22,SBL461204,ripencc,,,,,,
188.214.94.0/24,SBL461205,ripencc,,,,,,
188.214.140.0/24,SBL493896,ripencc,,,,,,
188.214.155.0/24,SBL493897,ripencc,,,,,,
188.214.193.0/24,SBL493898,ripencc,,,,,,
188.215.73.0/24,SBL692103,ripencc,,,,,,
188.240.14.0/24,SBL688281,ripencc,,,,,,
188.241.177.0/24,SBL655144,ripencc,,,,,,
188.247.230.0/24,SBL122292,ripencc,,,,,,
190.168.128.0/18,SBL543827,lacnic,,,,,,
190.168.192.0/18,SBL544039,lacnic,,,,,,
190.185.108.0/22,SBL424254,lacnic,,,,,,
191.101.31.0/24,SBL692717,ripencc,,,,,,
192.5.103.0/24,SBL212979,arin,,,,,,
192.35.52.0/23,SBL636031,arin,,,,,,
192.35.54.0/24,SBL636032,arin,,,,,,
192.40.29.0/24,SBL210095,arin,,,,,,
192.54.110.0/24,SBL221778,arin,,,,,,
192.80.44.0/24,SBL676712,arin,,,,,,
192.88.104.0/24,SBL649953,arin,,,,,,
192.88.117.0/24,SBL649971,arin,,,,,,
192.88.118.0/24,SBL648563,ripencc,,,,,,
192.88.120.0/24,SBL649955,arin,,,,,,
192.88.122.0/24,SBL649956,arin,,,,,,
192.88.128.0/24,SBL648564,ripencc,,,,,,
192.88.129.0/24,SBL649957,arin,,,,,,
192.88.130.0/24,SBL649958,ripencc,,,,,,
192.88.131.0/24,SBL649959,arin,,,,,,
192.88.133.0/24,SBL649960,ripencc,,,,,,
192.94.211.0/24,SBL682308,arin,,,,,,
192.94.240.0/24,SBL675008,afrinic,,,,,,
192.96.87.0/24,SBL650001,afrinic,,,,,,
192.96.146.0/24,SBL461490,afrinic,,,,,,
192.100.88.0/24,SBL96642,arin,,,,,,
192.101.44.0/24,SBL210168,arin,,,,,,
192.101.181.0/24,SBL210187,arin,,,,,,
192.101.187.0/24,SBL96646,arin,,,,,,
192.101.200.0/21,SBL97211,arin,,,,,,
192.101.208.0/20,SBL521793,arin,,,,,,
192.101.224.0/20,SBL521792,arin,,,,,,
192.101.240.0/21,SBL97209,arin,,,,,,
192.101.248.0/23,SBL97208,arin,,,,,,
192.109.138.0/24,SBL682631,ripencc,,,,,,
192.109.200.0/24,SBL692428,ripencc,,,,,,
192.111.228.0/24,SBL676713,arin,,,,,,
192.119.167.0/24,SBL683468,arin,,,,,,
192.119.173.0/24,SBL683469,arin,,,,,,
192.132.100.0/24,SBL613557,arin,,,,,,
192.133.3.0/24,SBL221771,arin,,,,,,
192.139.74.0/24,SBL676714,arin,,,,,,
192.147.254.0/24,SBL676715,arin,,,,,,
192.150.239.0/24,SBL676716,arin,,,,,,
192.152.194.0/24,SBL221768,arin,,,,,,
192.153.55.0/24,SBL676717,arin,,,,,,
192.154.11.0/24,SBL226063,arin,,,,,,
192.159.99.0/24,SBL682997,ripencc,,,,,,
192.160.44.0/24,SBL9493,arin,,,,,,
192.189.16.0/24,SBL676718,arin,,,,,,
192.190.97.0/24,SBL223556,arin,,,,,,
192.195.150.0/24,SBL223555,arin,,,,,,
192.195.187.0/24,SBL676719,arin,,,,,,
192.203.188.0/24,SBL676720,arin,,,,,,
192.203.252.0/24,SBL223554,arin,,,,,,
192.206.114.0/24,SBL226064,arin,,,,,,
192.226.16.0/20,SBL245072,arin,,,,,,
192.229.32.0/19,SBL106075,arin,,,,,,
192.231.66.0/24,SBL221765,arin,,,,,,
192.231.100.0/24,SBL521574,arin,,,,,,
192.234.156.0/24,SBL521493,arin,,,,,,
192.234.189.0/24,SBL221779,arin,,,,,,
192.245.101.0/24,SBL210097,arin,,,,,,
192.245.188.0/24,SBL521494,arin,,,,,,
192.245.248.0/24,SBL521777,arin,,,,,,
192.251.231.0/24,SBL419281,arin,,,,,,
192.252.16.0/20,SBL502925,arin,,,,,,
192.252.176.0/20,SBL655316,arin,,,,,,
192.253.224.0/20,SBL239266,arin,,,,,,
192.253.248.0/24,SBL692904,arin,,,,,,
193.3.164.0/24,SBL618824,ripencc,,,,,,
193.3.191.0/24,SBL690843,ripencc,,,,,,
193.24.123.0/24,SBL676666,ripencc,,,,,,
193.26.115.0/24,SBL687501,ripencc,,,,,,
193.30.144.0/20,SBL618910,ripencc,,,,,,
193.32.66.0/23,SBL493700,ripencc,,,,,,
193.32.162.0/24,SBL636059,ripencc,,,,,,
193.46.255.0/24,SBL682862,ripencc,,,,,,
193.139.0.0/16,SBL268277,ripencc,,,,,,
193.142.146.0/23,SBL648581,ripencc,,,,,,
193.143.1.0/24,SBL634458,ripencc,,,,,,
193.151.160.0/22,SBL494028,ripencc,,,,,,
193.203.10.0/23,SBL687163,ripencc,,,,,,
193.233.200.0/24,SBL619587,ripencc,,,,,,
193.233.255.0/24,SBL625301,ripencc,,,,,,
193.239.154.0/23,SBL520298,ripencc,,,,,,
193.242.153.0/24,SBL689988,ripencc,,,,,,
193.243.0.0/17,SBL241018,ripencc,,,,,,
193.254.48.0/22,SBL493701,ripencc,,,,,,
194.0.234.0/24,SBL654211,ripencc,,,,,,
194.11.246.0/24,SBL671713,ripencc,,,,,,
194.26.29.0/24,SBL689989,ripencc,,,,,,
194.26.69.0/24,SBL689990,ripencc,,,,,,
194.26.192.0/24,SBL687515,ripencc,,,,,,
194.38.20.0/22,SBL691383,ripencc,,,,,,
194.38.21.0/24,SBL690096,ripencc,,,,,,
194.38.22.0/24,SBL691355,ripencc,,,,,,
194.41.60.0/23,SBL493702,ripencc,,,,,,
194.62.244.0/22,SBL682240,ripencc,,,,,,
194.85.250.0/24,SBL689982,ripencc,,,,,,
194.113.235.0/24,SBL687645,ripencc,,,,,,
194.145.227.0/24,SBL668825,ripencc,,,,,,
194.180.64.0/20,SBL679673,ripencc,,,,,,
195.22.149.0/24,SBL552932,ripencc,,,,,,
195.24.236.0/24,SBL691433,ripencc,,,,,,
195.24.237.0/24,SBL691434,ripencc,,,,,,
195.96.32.0/19,SBL679674,ripencc,,,,,,
195.133.16.0/24,SBL689981,ripencc,,,,,,
195.177.92.0/24,SBL672494,ripencc,,,,,,
195.178.110.0/24,SBL677468,ripencc,,,,,,
195.178.136.0/24,SBL690048,ripencc,,,,,,
195.178.148.0/23,SBL688920,ripencc,,,,,,
195.181.224.0/20,SBL594334,apnic,,,,,,
195.225.108.0/24,SBL687559,ripencc,,,,,,
195.225.110.0/24,SBL687558,ripencc,,,,,,
196.10.61.0/24,SBL530026,afrinic,,,,,,
196.10.62.0/23,SBL530030,afrinic,,,,,,
196.10.64.0/19,SBL458171,afrinic,,,,,,
196.15.64.0/18,SBL458198,afrinic,,,,,,
196.16.0.0/14,SBL364590,afrinic,,,,,,
196.49.11.0/24,SBL675329,afrinic,,,,,,
196.223.43.0/24,SBL675328,afrinic,,,,,,
196.251.66.0/23,SBL675237,afrinic,,,,,,
196.251.69.0/24,SBL675241,afrinic,,,,,,
196.251.70.0/23,SBL675242,afrinic,,,,,,
196.251.72.0/23,SBL675243,afrinic,,,,,,
196.251.80.0/23,SBL675244,afrinic,,,,,,
196.251.83.0/24,SBL675247,afrinic,,,,,,
196.251.84.0/24,SBL675248,afrinic,,,,,,
196.251.85.0/24,SBL675254,afrinic,,,,,,
196.251.86.0/23,SBL675255,afrinic,,,,,,
196.251.88.0/22,SBL675256,afrinic,,,,,,
196.251.92.0/22,SBL675251,afrinic,,,,,,
196.251.96.0/24,SBL675252,afrinic,,,,,,
196.251.98.0/23,SBL675253,afrinic,,,,,,
196.251.100.0/24,SBL689241,afrinic,,,,,,
196.251.102.0/24,SBL682609,afrinic,,,,,,
196.251.107.0/24,SBL689238,afrinic,,,,,,
196.251.112.0/22,SBL675238,afrinic,,,,,,
196.251.116.0/23,SBL675239,afrinic,,,,,,
196.251.118.0/24,SBL675240,afrinic,,,,,,
198.13.64.0/21,SBL679727,arin,,,,,,
198.13.72.0/23,SBL679728,arin,,,,,,
198.17.197.0/24,SBL676721,arin,,,,,,
