cidr,sblid,rir,type,timestamp,size,records,copyright,terms
45.94.31.0/24,SBL687507,ripencc,,,,,,
45.114.184.0/22,SBL265063,apnic,,,,,,
45.114.200.0/22,SBL679559,apnic,,,,,,
45.116.224.0/22,SBL261016,apnic,,,,,,
45.117.140.0/22,SBL265068,apnic,,,,,,
45.121.204.0/22,SBL283285,apnic,,,,,,
45.125.12.0/22,SBL692280,apnic,,,,,,
45.125.66.0/24,SBL625544,apnic,,,,,,
45.129.187.0/24,SBL692448,ripencc,,,,,,
45.132.49.0/24,SBL683022,ripencc,,,,,,
45.132.180.0/24,SBL692131,ripencc,,,,,,
45.133.73.0/24,SBL692432,ripencc,,,,,,
45.133.246.0/24,SBL639581,ripencc,,,,,,
45.134.26.0/24,SBL634454,ripencc,,,,,,
45.135.48.0/22,SBL645086,apnic,,,,,,
45.135.193.0/24,SBL679273,ripencc,,,,,,
45.135.194.0/24,SBL679271,ripencc,,,,,,
45.135.232.0/24,SBL634456,ripencc,,,,,,
45.137.201.0/24,SBL692437,ripencc,,,,,,
45.138.16.0/24,SBL687508,ripencc,,,,,,
45.139.104.0/24,SBL636771,arin,,,,,,
45.140.17.0/24,SBL634459,ripencc,,,,,,
45.141.12.0/22,SBL692272,ripencc,,,,,,
45.141.56.0/24,SBL635065,ripencc,,,,,,
45.141.58.0/23,SBL632422,ripencc,,,,,,
45.141.84.0/22,SBL680524,ripencc,,,,,,
45.141.215.0/24,SBL682999,ripencc,,,,,,
45.142.152.0/22,SBL691440,ripencc,,,,,,
45.142.154.0/24,SBL691439,ripencc,,,,,,
45.142.155.0/24,SBL640405,ripencc,,,,,,
45.142.193.0/24,SBL671783,ripencc,,,,,,
45.143.201.0/24,SBL625748,ripencc,,,,,,
45.144.212.0/24,SBL673344,ripencc,,,,,,
45.146.130.0/24,SBL678922,ripencc,,,,,,
45.148.10.0/24,SBL678435,ripencc,,,,,,
45.148.121.0/24,SBL520237,ripencc,,,,,,
45.151.71.0/24,SBL690078,ripencc,,,,,,
45.152.149.0/24,SBL687509,ripencc,,,,,,
45.153.34.0/24,SBL679667,ripencc,,,,,,
45.154.98.0/24,SBL687510,ripencc,,,,,,
45.156.87.0/24,SBL688017,ripencc,,,,,,
45.172.219.0/24,SBL691435,lacnic,,,,,,
45.186.152.0/22,SBL540824,lacnic,,,,,,
45.192.178.0/23,SBL498361,afrinic,,,,,,
45.194.66.0/24,SBL683023,afrinic,,,,,,
45.194.92.0/24,SBL690638,afrinic,,,,,,
45.230.66.0/24,SBL681084,lacnic,,,,,,
45.248.88.0/22,SBL677713,apnic,,,,,,
46.151.182.0/24,SBL692140,ripencc,,,,,,
46.173.214.0/24,SBL664170,ripencc,,,,,,
46.173.218.0/24,SBL608382,ripencc,,,,,,
